price,title,location,time,image_link
"₹ 3,800",Car Seat Covers del,"Teen Murti Marg Area, Delhi",22 Apr,https://apollo.olx.in:443/v1/files/anlj9be4dls03-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 45,00,000",107 Gaj home with covered car parking near by main market,"Jawahar Colony, Faridabad",26 Apr,https://apollo.olx.in:443/v1/files/snfj4qh41n4k1-IN/image;s=150x0;q=50;f=webp;
"₹ 5,15,000","Honda Mobilio 2014, New tyres and seat covers","Mogappair East Paneer Nagar, Chennai",17 Apr,https://apollo.olx.in:443/v1/files/8oapid9b11xi-IN/image;s=150x0;q=50;f=webp;
"₹ 1,28,000",EON ERA + Car with Car Cover,"Meherpur Beltala, Silchar",Yesterday,https://apollo.olx.in:443/v1/files/dai16n2r9kw33-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 3,00,000",New seat covers maintained car no need to spend,"Hapur Road Industrial Area, Ghaziabad",Yesterday,https://apollo.olx.in:443/v1/files/5obdkmus4nvv1-IN/image;s=150x0;q=50;f=webp;
"₹ 38,90,000",2 BHK Flat for sale with lift and covered Car  parking,"Behala Chowrasta, Kolkata",Yesterday,https://apollo.olx.in:443/v1/files/3dn9n9efmsxx2-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 1,100",Swift Car Cover for sale,"Patran 176, Patran",Yesterday,https://apollo.olx.in:443/v1/files/ifzz3qwjlw3n1-IN/image;s=150x0;q=50;f=webp;
"₹ 44,99,999",3 BHK luxury independent floor with lift covered car parking,"Govindpuram, Ghaziabad",Yesterday,https://apollo.olx.in:443/v1/files/skp4bvwwhkao3-IN/image;s=150x0;q=50;f=webp;
₹ 800,Recaro Santro Car Cover,"Yogi Nagar Township, Vadodara",Yesterday,https://apollo.olx.in:443/v1/files/ja4pmm6hh1z53-IN/image;s=150x0;q=50;f=webp;
"₹ 10,000",Dash cam & Nexon reserve camera car cover,"Sathagalli Layout, Mysuru",Yesterday,https://apollo.olx.in:443/v1/files/56i8dxdam7lc3-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 21,000","2bhk available for rent at Pammal,  covered car parking rent","Pammal, Chennai",Yesterday,https://apollo.olx.in:443/v1/files/6bl520mark8n-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 4,40,000","i want to sell my alto car vxi   with 
 Superior leather seat cover","Syed Ali Akbar, Srinagar",Yesterday,https://apollo.olx.in:443/v1/files/w9b9pyzl6v7b3-IN/image;s=150x0;q=50;f=webp;
"₹ 31,00,000",Ambattur 2 Flats for Sale with Lift & Covered Car Parking,"Ambattur, Chennai",Yesterday,https://apollo.olx.in:443/v1/files/5j08ddta6pp11-IN/image;s=150x0;q=50;f=webp;
"₹ 1,500",Stylish Car cover,"Paldi Meena, Jaipur",Yesterday,https://apollo.olx.in:443/v1/files/dm4nhhbqs4at2-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 14,000",2bhk attached first floor with covered car parking,"Manacaud, Thiruvananthapuram",Yesterday,https://apollo.olx.in:443/v1/files/ab2qcb8ni046-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 4,500",baleno orvm brand new and alto car cover original and gear nob baleno,"Khadarwala, Muzaffarnagar",Yesterday,https://apollo.olx.in:443/v1/files/lhsiipvonup62-IN/image;s=150x0;q=50;f=webp;
"₹ 1,000",Car cover of kia seltos,"Bhumkar Chowk Road, Pune",Yesterday,https://apollo.olx.in:443/v1/files/b4nxkus6s06t2-IN/image;s=150x0;q=50;f=webp;
₹ 500,Alto 800/K10 similar car body cover,"Mahadeb Nagar Jharapada, Bhubaneshwar",Yesterday,https://apollo.olx.in:443/v1/files/nn24wccajpp42-IN/image;s=150x0;q=50;f=webp;
"₹ 33,00,100",75 gaj home with covered car parking near sohna road highway,"Jawahar Colony, Faridabad",Yesterday,https://apollo.olx.in:443/v1/files/vw6uacmcjonh1-IN/image;s=150x0;q=50;f=webp;
"₹ 44,00,000",2bhk flat with 2 bathrooms 1balcony &2 covered car parking  sale,"Kudghat, Kolkata",Yesterday,https://apollo.olx.in:443/v1/files/6joe253cguzs1-IN/image;s=150x0;q=50;f=webp;
"₹ 12,000",Designer car seat cover vsp,"Seetamma Peta, Visakhapatnam",8 Apr,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 4,200",Car seat cover vsp,"Seetamma Peta, Visakhapatnam",17 Apr,https://apollo.olx.in:443/v1/files/s7rqlxmv22kp1-ADVIN/image;s=150x0;q=50;f=webp;
