Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	106.2789
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.3369
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.1258
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	149.3642
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.2095
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.1272
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	112.9881
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.2359
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	363.6368
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	545.8676
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	377.2279
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1037.1929
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2691.8688
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1033.3362
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1036.4226
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1037.1760
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2611.5085
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1033.2169
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1036.3882
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	11.0276
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.4017
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.3087
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.3087
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.4017
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9549
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.2056
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4627
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4434
BANDHAN Banking & PSU Debt Fund - Direct Growth	25.1136
BANDHAN Banking & PSU Debt Fund - Direct IDCW	13.2105
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4260
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	11.0510
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.2453
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8639
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.5988
BANDHAN Banking & PSU Debt Fund - Regular Growth	24.4128
BANDHAN Banking & PSU Debt Fund - Regular IDCW	13.1828
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6692
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	10.9492
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.4754
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	12.8062
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.5794
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.5351
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.3179
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.3651
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.0770
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.9179
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	11.9801
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.8363
DSP Banking & PSU Debt Fund - Direct Plan - Growth	24.775
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.448
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1404
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3574
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.4542
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.145
DSP Banking & PSU Debt Fund - Regular Plan - Growth	23.9346
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.4426
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1401
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3461
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.4461
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1445
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.3165
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.9934
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5249
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9071
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5279
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.4425
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.169
